SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G02,2024-04-13 16:51:36.417342+00:00,14573206.71411265,-5239567.640830624,22040175.96184369,22812058.27763995,43.0,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G03,2024-04-13 16:51:36.417342+00:00,23187580.558564212,-12122987.558775622,4011162.6919710715,24151306.26768114,42.0,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G08,2024-04-13 16:51:36.417342+00:00,24906736.30404856,4694270.572758321,8528081.895445963,21169467.93797826,47.8,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G10,2024-04-13 16:51:36.417342+00:00,-1329165.0720265834,17148086.34156501,20352420.163985148,22785964.099709965,39.0,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G21,2024-04-13 16:51:36.417342+00:00,15699708.620245434,1536361.2559223366,21913664.42634119,21745944.913827673,44.3,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G27,2024-04-13 16:51:36.417342+00:00,23150795.05425613,13293206.07379138,-2593025.988618102,22137021.599012583,45.2,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G28,2024-04-13 16:51:36.417342+00:00,5200268.047928143,25758890.151180234,-3885488.7660888904,23820393.16069658,35.5,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G32,2024-04-13 16:51:36.417342+00:00,8094502.459394407,17964729.605067823,18113974.760810208,21259751.562319674,45.6,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G02,2024-04-13 16:51:37.417342+00:00,14573637.157755837,-5236917.872893741,22040556.11196385,22811553.130679525,45.2,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G03,2024-04-13 16:51:37.417342+00:00,23187259.053250164,-12122514.97754027,4014342.794508614,24150800.496943604,43.4,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G08,2024-04-13 16:51:37.417342+00:00,24907621.621711712,4694947.489705142,8525202.036002519,21169634.036103524,49.8,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G10,2024-04-13 16:51:37.417342+00:00,-1331334.3680131258,17149413.627291784,20351116.047403943,22786318.16333277,41.7,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G21,2024-04-13 16:51:37.417342+00:00,15700126.351931373,1538993.6651881896,21913269.6990149,21745595.350588758,46.7,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G27,2024-04-13 16:51:37.417342+00:00,23150430.25081132,13293291.289165769,-2596155.0586444973,22137551.317140643,47.7,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G28,2024-04-13 16:51:37.417342+00:00,5200041.630917072,25759405.581586618,-3882362.5798162287,23819891.916109253,37.8,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G32,2024-04-13 16:51:37.417342+00:00,8092415.256527005,17963876.506956242,18115754.467669804,21259985.709204976,46.8,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G02,2024-04-13 16:51:38.417342+00:00,14574067.76820618,-5234268.088813115,22040935.8126152,22811047.390411697,43.0,4436875.160833207,3085279.1697089244,3376308.271294688,32.16878423359476,34.81367361654555,36.129035636782646
