SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G02,2024-04-13 16:52:19.418698+00:00,14591866.966557112,-5125610.266319888,22056116.95658494,22792039.017682195,47.2,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G03,2024-04-13 16:52:19.418698+00:00,23173479.482240584,-12102446.045672685,4147832.625594413,24131358.534740735,44.3,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G08,2024-04-13 16:52:19.418698+00:00,24944545.530409124,4723196.893046651,8404084.294735465,21178412.136658646,50.7,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G10,2024-04-13 16:52:19.418698+00:00,-1422253.478673378,17205202.58820848,20295954.526775006,22802966.663672205,36.2,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G21,2024-04-13 16:52:19.418698+00:00,15717806.50748737,1649481.8821763806,21896290.070443552,21732699.375334933,44.1,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G27,2024-04-13 16:52:19.418698+00:00,23134798.299755145,13296734.952176219,-2727530.9775311192,22161735.16137114,43.2,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G28,2024-04-13 16:52:19.418698+00:00,5190524.141343625,25780713.095625866,-3750984.7821385763,23800201.24902511,38.1,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G32,2024-04-13 16:52:19.418698+00:00,8004524.969909515,17928069.811361097,18190163.98179976,21271716.472752698,42.2,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G02,2024-04-13 16:52:20.418698+00:00,14592304.580027768,-5122959.862970568,22056477.773290534,22791560.25545099,47.6,4436885.833662581,3085286.083532789,3376328.152297504,32.16887497242394,34.81366919670884,57.47221267223358
G03,2024-04-13 16:52:20.418698+00:00,23173144.851224016,-12101962.982488178,4151008.9555503884,24130882.15016987,44.8,4436885.833662581,3085286.083532789,3376328.152297504,32.16887497242394,34.81366919670884,57.47221267223358
G08,2024-04-13 16:52:20.418698+00:00,24945418.424417596,4723865.152570108,8401196.8474223,21178611.80900284,51.8,4436885.833662581,3085286.083532789,3376328.152297504,32.16887497242394,34.81366919670884,57.47221267223358
G10,2024-04-13 16:52:20.418698+00:00,-1424413.5119917523,17206531.817258596,20294631.996999994,22803346.797920316,38.0,4436885.833662581,3085286.083532789,3376328.152297504,32.16887497242394,34.81366919670884,57.47221267223358
G21,2024-04-13 16:52:20.418698+00:00,15718230.65578289,1652110.6281089815,21895876.27374978,21732380.07077358,44.9,4436885.833662581,3085286.083532789,3376328.152297504,32.16887497242394,34.81366919670884,57.47221267223358
G27,2024-04-13 16:52:20.418698+00:00,23134418.74395557,13296813.731150793,-2730657.68200507,22162302.362566903,43.4,4436885.833662581,3085286.083532789,3376328.152297504,32.16887497242394,34.81366919670884,57.47221267223358
