SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G02,2024-05-06 18:25:01.592145+00:00,22723591.72939511,13959688.168225663,2052332.454946511,19076683.188511524,50.9,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G03,2024-05-06 18:25:01.592145+00:00,12849055.42877992,8970702.029406164,21314293.772942893,18690918.931364037,50.7,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G04,2024-05-06 18:25:01.592145+00:00,21733452.246478934,3615833.4782846086,14948703.908289563,18605046.9647796,50.3,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G06,2024-05-06 18:25:01.592145+00:00,4774237.741112384,-14619582.845141783,21698584.772661693,23377329.64803255,50.8,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G09,2024-05-06 18:25:01.592145+00:00,25265053.492222823,-7269998.7592929825,3896088.6717874957,20828045.24937821,50.9,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G16,2024-05-06 18:25:01.592145+00:00,1694500.9229459418,24065926.927349925,-10918067.78441674,23532495.14128671,50.7,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G17,2024-05-06 18:25:01.592145+00:00,21142545.05354461,-13386590.140972022,9554091.79725308,21877368.657396734,51.0,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G19,2024-05-06 18:25:01.592145+00:00,13787928.195629597,-15257106.007191498,16408243.025372941,22109691.29982623,51.3,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G21,2024-05-06 18:25:01.592145+00:00,20953708.928065035,16838304.457225822,-3081332.419406667,20213146.911028728,51.3,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G26,2024-05-06 18:25:01.592145+00:00,-4209358.830929763,25863437.47220014,2722042.6170909735,22567380.46008398,51.1,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G28,2024-05-06 18:25:01.592145+00:00,-7054727.259673347,13641916.590233773,21657073.468344178,22314220.123061307,51.3,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G31,2024-05-06 18:25:01.592145+00:00,2888360.55248735,19121233.56972359,17817359.158163007,19847136.83311715,50.6,4717233.868069766,2873982.4931872725,3178551.0730469464,30.084103842301342,31.351931047296734,212.76862784661353
G02,2024-05-06 18:25:02.599145+00:00,22723623.59315066,13959994.29885274,2049174.6590377414,19077036.644682705,51.5,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G03,2024-05-06 18:25:02.599145+00:00,12848553.36198871,8973388.90933295,21313483.258025236,18690807.71839979,49.9,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G04,2024-05-06 18:25:02.599145+00:00,21731722.49190424,3616615.542646736,14951018.95607353,18604967.219840717,50.6,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G06,2024-05-06 18:25:02.599145+00:00,4776355.601854626,-14617852.381233273,21699297.30151068,23376665.00713852,50.5,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G09,2024-05-06 18:25:02.599145+00:00,25264692.417209007,-7269547.139939664,3899202.8655209616,20827617.147378553,50.7,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
